postcode,rank_ptv,rank_crime,rank_city,rank_park,liveability_rank,rank_affordability,final_rank
3053,5,133,3,116,65.83333333333333,13,39.416666666666664
3151,101,72,121,42,84.83333333333333,8,46.416666666666664
3104,91,82,65,81,82.0,15,48.5
3000,1,235,2,107,96.83333333333331,1,48.91666666666666
3109,87,110,105,70,94.83333333333333,6,50.416666666666664
3108,75,136,85,67,95.66666666666669,9,52.33333333333334
3003,2,132,7,112,64.5,43,53.75
3107,94,90,82,94,90.66666666666667,17,53.833333333333336
3125,49,174,96,41,97.16666666666666,14,55.58333333333333
3051,14,147,12,119,75.5,37,56.25
3105,98,78,70,90,85.33333333333333,28,56.666666666666664
3103,61,142,75,83,94.0,21,57.5
3165,38,111,114,73,80.83333333333333,40,60.416666666666664
3168,82,219,91,24,119.5,7,63.25
3111,125,51,110,51,85.5,42,63.75
3927,166,4,245,74,109.83333333333333,18,63.916666666666664
3149,157,126,98,28,115.33333333333334,16,65.66666666666667
3129,44,159,86,62,92.33333333333333,41,66.66666666666666
3102,42,40,52,103,53.16666666666667,82,67.58333333333334
3128,22,226,101,65,110.33333333333331,25,67.66666666666666
3148,130,97,81,27,93.66666666666667,44,68.83333333333334
3171,110,155,146,26,116.99999999999999,27,72.0
3173,117,128,153,23,110.99999999999999,36,73.5
3187,86,92,104,114,95.66666666666667,53,74.33333333333334
3942,191,13,281,169,143.0,10,76.5
3008,4,170,9,113,78.33333333333333,76,77.16666666666666
3054,11,200,13,132,94.50000000000001,61,77.75
3934,205,66,233,71,141.0,20,80.5
3150,123,264,111,22,151.16666666666666,12,81.58333333333333
3929,282,2,252,129,158.16666666666669,5,81.58333333333334
3944,237,7,279,195,160.33333333333331,3,81.66666666666666
3931,131,153,229,53,141.66666666666666,26,83.83333333333333
3940,118,85,272,131,134.83333333333334,34,84.41666666666667
3202,174,36,167,57,107.33333333333333,62,84.66666666666666
3943,240,26,278,184,165.66666666666666,4,84.83333333333333
3124,43,109,63,48,69.16666666666667,102,85.58333333333334
3006,45,286,5,97,127.33333333333333,45,86.16666666666666
3169,63,218,133,39,122.33333333333334,51,86.66666666666667
3193,60,178,163,109,124.66666666666669,52,88.33333333333334
3170,182,113,118,18,121.0,57,89.0
3061,90,119,127,203,124.66666666666666,54,89.33333333333333
3230,257,16,199,275,170.0,11,90.5
3180,95,68,161,36,87.16666666666667,94,90.58333333333334
3113,212,83,172,134,149.33333333333334,32,90.66666666666667
3060,39,190,87,189,122.33333333333334,59,90.66666666666667
3052,57,213,22,141,117.16666666666667,65,91.08333333333334
3225,194,96,119,266,160.83333333333334,24,92.41666666666667
3131,141,242,142,43,158.5,29,93.75
3152,106,265,156,33,155.16666666666666,35,95.08333333333333
3926,305,49,243,66,169.5,23,96.25
3130,65,284,123,50,145.16666666666669,50,97.58333333333334
3133,62,201,141,29,116.0,83,99.5
3930,244,79,225,47,153.0,47,100.0
3804,289,107,168,10,161.66666666666666,39,100.33333333333333
3178,183,134,154,20,134.66666666666666,73,103.83333333333333
3172,169,216,169,34,162.16666666666666,46,104.08333333333333
3918,238,28,234,37,133.83333333333331,77,105.41666666666666
3913,229,33,218,19,126.83333333333333,85,105.91666666666666
3793,245,31,235,54,140.16666666666666,74,107.08333333333333
3911,164,117,205,14,130.16666666666666,87,108.58333333333333
