postcode,rank
3000,1
3003,2
3055,3
3008,4
3053,5
3143,6
3185,7
3122,8
3067,9
3181,10
3054,11
3072,12
3206,13
3051,14
3056,15
3380,16
3011,17
3070,18
3980,19
3004,20
3013,21
3128,22
3162,23
3081,24
3182,25
3161,26
3078,27
3040,28
3058,29
3039,30
3025,31
3184,32
3015,33
3141,34
3191,35
3031,36
3142,37
3165,38
3060,39
3066,40
3071,41
3102,42
3124,43
3129,44
3006,45
3144,46
3032,47
3073,48
3125,49
3183,50
3068,51
3175,52
3016,53
3186,54
3400,55
3205,56
3052,57
3079,58
3204,59
3193,60
3103,61
3133,62
3169,63
3145,64
3130,65
3630,66
3207,67
3146,68
3012,69
3194,70
3585,71
3219,72
3166,73
3197,74
3108,75
3041,76
3134,77
3044,78
3188,79
3250,80
3074,81
3168,82
3192,83
3220,84
3550,85
3187,86
3109,87
3127,88
3218,89
3061,90
3104,91
3101,92
3155,93
3107,94
3180,95
3093,96
3677,97
3105,98
3034,99
3084,100
3151,101
3163,102
3300,103
3085,104
3042,105
3152,106
3087,107
3224,108
3976,109
3171,110
3850,111
3195,112
3033,113
3754,114
3094,115
3199,116
3173,117
3940,118
3752,119
3083,120
3215,121
3123,122
3150,123
3082,124
3111,125
3844,126
3021,127
3147,128
3048,129
3148,130
3931,131
3020,132
3028,133
3805,134
3196,135
3043,136
3177,137
3156,138
3730,139
3137,140
3131,141
3216,142
3153,143
3350,144
3356,145
3214,146
3049,147
3023,148
3803,149
3555,150
3174,151
3995,152
3500,153
3075,154
3690,155
3046,156
3149,157
3018,158
3136,159
3158,160
3377,161
3135,162
3765,163
3911,164
3228,165
3927,166
3089,167
3280,168
3172,169
3363,170
3217,171
3022,172
3038,173
3202,174
3047,175
3925,176
3284,177
3037,178
3910,179
3337,180
3806,181
3170,182
3178,183
3160,184
3121,185
3810,186
3095,187
3975,188
3154,189
3660,190
3942,191
3026,192
3687,193
3225,194
3036,195
3818,196
3282,197
3977,198
3223,199
3064,200
3030,201
3764,202
3222,203
3984,204
3934,205
3915,206
3564,207
3556,208
3796,209
3027,210
3941,211
3113,212
3340,213
3357,214
3115,215
3437,216
3338,217
3978,218
3427,219
3138,220
3505,221
3390,222
3444,223
3847,224
3212,225
3336,226
3116,227
3807,228
3913,229
3644,230
3393,231
3305,232
3551,233
3024,234
3922,235
3912,236
3944,237
3918,238
3059,239
3943,240
3029,241
3777,242
3355,243
3930,244
3793,245
3272,246
3463,247
3756,248
3467,249
3783,250
3431,251
3831,252
3260,253
3825,254
3498,255
3621,256
3230,257
3480,258
3869,259
3814,260
3358,261
3781,262
3418,263
3953,264
3770,265
3434,266
3460,267
3304,268
3352,269
3816,270
3264,271
3888,272
3880,273
3782,274
3342,275
3414,276
3631,277
3232,278
3435,279
3936,280
3620,281
3929,282
3099,283
3139,284
3683,285
3713,286
3714,287
3478,288
3804,289
3909,290
3608,291
3741,292
3579,293
3515,294
3373,295
3753,296
3749,297
3775,298
3370,299
3318,300
3331,301
3747,302
3875,303
3823,304
3926,305
3960,306
3722,307
3797,308
3451,309
3740,310
3717,311
3523,312
3666,313
3981,314
3610,315
3270,316
3737,317
3641,318
3636,319
3241,320
3992,321
3268,322
3860,323
3809,324
3691,325
3871,326
3885,327
3501,328
3971,329
3461,330
3458,331
3851,332
3812,333
3266,334
3664,335
3939,336
3723,337
3401,338
3956,339
