postcode,rank
3270,1
3929,2
3749,3
3927,4
3687,5
3740,6
3944,7
3664,8
3318,9
3467,10
3358,11
3390,12
3942,13
3370,14
3992,15
3230,16
3515,17
3480,18
3232,19
3683,20
3783,21
3641,22
3115,23
3869,24
3431,25
3943,26
3272,27
3918,28
3282,29
3831,30
3793,31
3713,32
3913,33
3357,34
3814,35
3202,36
3414,37
3284,38
3093,39
3102,40
3264,41
3460,42
3823,43
3741,44
3501,45
3094,46
3158,47
3154,48
3926,49
3747,50
3111,51
3435,52
3022,53
3781,54
3885,55
3268,56
3621,57
3498,58
3463,59
3027,60
3458,61
3765,62
3880,63
3241,64
3393,65
3934,66
3796,67
3180,68
3363,69
3871,70
3143,71
3151,72
3034,73
3610,74
3123,75
3812,76
3434,77
3105,78
3930,79
3418,80
3960,81
3104,82
3113,83
3753,84
3940,85
3722,86
3142,87
3161,88
3266,89
3107,90
3478,91
3187,92
3089,93
3191,94
3059,95
3225,96
3148,97
3055,98
3184,99
3331,100
3013,101
3770,102
3797,103
3116,104
3427,105
3847,106
3804,107
3775,108
3124,109
3109,110
3165,111
3980,112
3170,113
3910,114
3122,115
3186,116
3911,117
3025,118
3061,119
3304,120
3714,121
3071,122
3101,123
3752,124
3803,125
3149,126
3380,127
3173,128
3976,129
3099,130
3067,131
3003,132
3053,133
3178,134
3039,135
3108,136
3956,137
3070,138
3075,139
3608,140
3138,141
3103,142
3342,143
3373,144
3807,145
3737,146
3051,147
3809,148
3205,149
3036,150
3300,151
3636,152
3931,153
3082,154
3171,155
3074,156
3782,157
3677,158
3129,159
3400,160
3666,161
3087,162
3717,163
3049,164
3925,165
3155,166
3033,167
3144,168
3072,169
3008,170
3194,171
3073,172
3523,173
3125,174
3066,175
3915,176
3079,177
3193,178
3500,179
3981,180
3206,181
3260,182
3437,183
3056,184
3816,185
3730,186
3630,187
3224,188
3336,189
3060,190
3585,191
3212,192
3756,193
3461,194
3806,195
3953,196
3018,197
3912,198
3620,199
3054,200
3133,201
3146,202
3026,203
3162,204
3860,205
3723,206
3888,207
3085,208
3764,209
3451,210
3016,211
3505,212
3052,213
3147,214
3223,215
3172,216
3197,217
3169,218
3168,219
3777,220
3228,221
3177,222
3141,223
3280,224
3185,225
3128,226
3127,227
3135,228
3188,229
3644,230
3207,231
3579,232
3975,233
3044,234
3000,235
3850,236
3356,237
3939,238
3145,239
3936,240
3660,241
3131,242
3564,243
3217,244
3137,245
3978,246
3160,247
3192,248
3355,249
3048,250
3401,251
3810,252
3011,253
3444,254
3040,255
3971,256
3153,257
3250,258
3377,259
3941,260
3068,261
3182,262
3015,263
3150,264
3152,265
3174,266
3058,267
3222,268
3095,269
3078,270
3754,271
3922,272
3004,273
3305,274
3042,275
3183,276
3038,277
3690,278
3041,279
3818,280
3199,281
3805,282
3909,283
3130,284
3204,285
3006,286
3163,287
3555,288
3181,289
3134,290
3218,291
3121,292
3032,293
3024,294
3081,295
3691,296
3984,297
3046,298
3220,299
3214,300
3028,301
3043,302
3851,303
3136,304
3084,305
3031,306
3047,307
3631,308
3844,309
3166,310
3995,311
3156,312
3139,313
3556,314
3196,315
3030,316
3083,317
3021,318
3338,319
3175,320
3037,321
3012,322
3215,323
3029,324
3195,325
3064,326
3020,327
3340,328
3216,329
3337,330
3219,331
3825,332
3875,333
3023,334
3551,335
3352,336
3977,337
3550,338
3350,339
