,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
0,Abbotsford (Vic.),605.0,606.2396694214876,652.196261682243,627.0212765957447,622.9545454545455,634.1149425287356,599.047619047619,750.2439024390244,623.1304347826087,623.1304347826087,623.1304347826087,0r,high
1,Aberfeldie,424.61538461538464,375.8333333333333,406.6666666666667,529.2857142857143,380.0,325.0,,750.0,352.5,352.5,352.5,0r,low
2,Aintree,453.6363636363636,454.25,465.90909090909093,481.6666666666667,461.25,481.1111111111111,595.7142857142857,527.5,505.625,505.625,505.625,0r,low
3,Aireys Inlet,273.3333333333333,,,,,,,,,,,0r,
4,Airport West,420.9032258064516,431.0504201680672,439.2549019607843,440.2654867256637,519.7058823529412,496.6179775280899,544.3452380952381,583.8461538461538,532.2976744186046,532.2976744186046,532.2976744186046,0r,high
5,Albanvale,334.35483870967744,358.231884057971,360.2631578947368,363.7391304347826,366.63793103448273,362.5287356321839,395.33898305084745,456.53846153846155,373.3841463414634,373.3841463414634,373.3841463414634,0r,high
6,Albert Park (Vic.),500.0,766.6666666666666,,,401.6666666666667,400.0,580.0,550.0,431.6666666666667,431.6666666666667,431.6666666666667,0r,low
7,Alberton (Vic.),220.0,,,317.5,285.0,480.0,,,382.5,382.5,382.5,0r,low
8,Albion (Vic.),339.11764705882354,347.5,375.0,363.81632653061223,365.40277777777777,379.758064516129,457.03125,593.3333333333334,390.07086614173227,390.07086614173227,390.07086614173227,0r,high
9,Alexandra (Vic.),261.52777777777777,282.5,317.9032258064516,311.7241379310345,364.44444444444446,348.6363636363636,413.75,395.7142857142857,362.3809523809524,362.3809523809524,362.3809523809524,0r,low
10,Alfredton,339.5,329.75,365.0,350.0,355.0,360.0,,,356.6666666666667,356.6666666666667,356.6666666666667,0r,low
11,Allansford,286.07142857142856,308.75,330.6666666666667,301.25,368.8888888888889,356.6666666666667,468.75,436.6666666666667,399.375,399.375,399.375,0r,low
12,Alphington,665.3571428571429,605.7446808510638,673.2115384615385,655.4166666666666,642.0,616.8055555555555,748.8461538461538,668.4615384615385,653.2282608695652,653.2282608695652,653.2282608695652,0r,low
13,Altona Meadows,360.6105610561056,374.55965909090907,381.2012987012987,383.7328990228013,394.38337801608577,435.8702064896755,461.4021164021164,467.1171171171171,434.6489971346705,434.6489971346705,434.6489971346705,0r,high
14,Altona North,428.5897435897436,451.0688259109312,469.81081081081084,500.1507537688442,486.18257261410787,517.811320754717,594.1369047619048,610.875,530.0,530.0,530.0,0r,high
15,Anakie,485.0,673.3333333333334,633.3333333333334,716.6666666666666,550.0,472.5,570.0,520.0,534.1666666666666,534.1666666666666,534.1666666666666,0r,low
16,Ancona,275.0,,,300.0,,,,,,,,0r,
17,Anglesea,426.3529411764706,421.8636363636364,458.9024390243902,488.7837837837838,604.2105263157895,606.8421052631579,647.5,655.3125,617.2549019607843,617.2549019607843,617.2549019607843,0r,low
18,Ararat,274.3098591549296,288.13653136531366,336.9407894736842,304.3456375838926,318.0888030888031,352.48275862068965,384.5222929936306,414.1101694915254,347.9701834862385,347.9701834862385,347.9701834862385,0r,high
19,Ardeer,334.2435897435897,354.07142857142856,363.14814814814815,349.8979591836735,364.6279069767442,365.40983606557376,416.0869565217391,489.375,376.0214285714285,376.0214285714285,376.0214285714285,0r,high
20,Ardmona,270.0,320.0,350.0,250.0,,370.0,,,378.75,378.75,378.75,0r,low
21,Argyle (Vic.),250.0,241.25,295.0,300.0,,470.0,500.0,365.0,485.0,485.0,485.0,0r,low
