suburb,r2_0r,r2_lr,r2_rf,r2_combine,type,confidence
Rowville,-1.1453879951316686,-1.1453879951316686,-0.3304399678101748,0.2300214643338299,House,high
Ormond,0.2015400822996526,0.2015400822996526,0.3831596910613674,0.4428586318293098,House,high
West Wodonga,0.2832127434461392,0.2832127434461392,0.268037704928498,0.288370868465683,House,high
Wodonga,-0.2768877398703651,-0.2768877398703651,0.4362858918877201,0.3942074824966192,House,high
Tarneit,0.0368942363663741,0.0368942363663741,0.0768950089097455,0.2264080411523992,House,high
Keysborough,0.4346017732118951,0.4346017732118951,0.5437096007303847,0.5471410767208005,House,high
Preston (Vic.),0.1608860112202708,0.1608860112202708,0.0713584422684768,0.2222300750085181,House,high
Melton South,0.2458962771926822,0.2458962771926822,0.1820030029329057,0.2293677833261853,House,high
Dandenong,-0.1806604570417265,-0.1806604570417265,0.1267147665186028,0.1065596369691025,House,high
Werribee South,0.6253741806699391,0.6253741806699391,0.2476579870418579,0.5459482260594823,House,high
Wallan,-0.7536509748000284,-0.7536509748000284,-0.0006183858608119,0.1296356573981404,House,high
Chirnside Park,0.5506545989490896,0.5506545989490896,0.5884779501356274,0.5942343085744142,House,high
Craigieburn,0.3424333264579996,0.3424333264579996,0.3208977564348366,0.3995288016332765,House,high
Reservoir (Vic.),0.15639076730655,0.15639076730655,0.2530508897132376,0.2874099270196381,House,high
Caroline Springs,-0.3778974791135352,-0.3778974791135352,0.1861546523266269,0.3292917919222393,House,high
Portland (Vic.),-1.3444236598941537,-1.3444236598941537,0.0332227500810684,0.3627773267530074,House,high
Mount Waverley,0.1221263966261974,0.1221263966261974,0.159167832748471,0.3999616284662238,House,high
Brighton East,-0.4801243165394699,-0.4801243165394699,-0.0600908703791511,0.1138633655243893,House,high
Belmont (Vic.),-0.3923745983621838,-0.3923745983621838,0.6035699650865163,0.2810436718066263,House,high
Dandenong North,-0.4684631491635274,-0.4684631491635274,0.2269311600734705,0.0826220348336139,House,high
Shepparton,0.3176619667936726,0.3176619667936726,0.3166950676433544,0.4539108222007396,House,high
Bendigo,0.2049447969281841,0.2049447969281841,0.4747807465801071,0.395550191793799,House,high
Truganina,0.009460861203857,0.009460861203857,0.0421828312095645,0.0475014206751344,House,high
Carlton (Vic.),-0.6123069729383934,-0.6123069729383934,0.3965280925633663,0.0779370915277058,House,high
Mentone,0.3508058721049484,0.3508058721049484,0.2522811595447973,0.3967659255340968,House,high
Thornbury,-0.2843218371581468,-0.2843218371581468,0.39018908948264,0.2893377718329861,House,high
Wantirna South,0.5117505504538631,0.5117505504538631,0.4228546004224988,0.5454435923355897,House,high
Burwood (Vic.),0.3622054845145167,0.3622054845145167,0.2485827293644226,0.3598146498075468,House,high
Berwick,0.2302787397360112,0.2302787397360112,0.3573101329437982,0.3239491144285029,House,high
Box Hill (Vic.),0.1693577424510441,0.1693577424510441,0.2766007920878215,0.2650488349703394,House,high
Frankston,0.0276916707533073,0.0276916707533073,0.2262623152355569,0.241578855043128,House,high
Bundoora (Vic.),0.3600588752654277,0.3600588752654277,0.3026816125795223,0.3449162260928848,House,high
Ferntree Gully,0.2460504123815675,0.2460504123815675,0.0877842229911985,0.230197335470541,House,high
Oak Park,-2.518764907953289,-2.518764907953289,0.3368309953506491,0.0714234332941413,House,high
Heidelberg Heights,0.2989572241102024,0.2989572241102024,-0.1556017702686523,0.1910930618293698,House,high
Clayton South,0.1769174835261808,0.1769174835261808,-0.1059985428042167,0.1446993153858823,House,high
Torquay (Vic.),0.1809552746805388,0.1809552746805388,0.1648347456942378,0.1998741600053335,House,high
Narre Warren South,0.3271767522190921,0.3271767522190921,0.2930847858244758,0.3262004474360814,House,high
Noble Park,0.1326570480392427,0.1326570480392427,0.2083930872706002,0.2398469421745517,House,high
