,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
0,Abbotsford (Vic.),470.428391959799,482.367027677497,485.44708680142685,468.796626984127,437.3540145985401,479.9657320872274,567.7122128174124,576.3913857677902,492.74977252047313,492.74977252047313,492.74977252047313,0r,high
1,Aberfeldie,364.42857142857144,353.25,407.72727272727275,399.6666666666667,362.1875,390.4761904761905,399.61538461538464,433.57142857142856,389.390243902439,389.390243902439,389.390243902439,0r,low
2,Aintree,400.0,481.42857142857144,650.0,450.0,,560.0,490.0,620.0,547.5,547.5,547.5,0r,low
3,Airport West,404.3495145631068,415.59685863874347,430.7880434782609,445.1829268292683,448.8858695652174,464.35357142857146,504.72477064220186,559.7945205479452,469.11270125223615,469.11270125223615,469.11270125223615,0r,high
4,Albanvale,316.57894736842104,333.05555555555554,336.53846153846155,355.45454545454544,349.8666666666667,364.8780487804878,404.65909090909093,379.2857142857143,375.6222222222222,375.6222222222222,375.6222222222222,0r,low
5,Albert Park (Vic.),846.0,600.0,,200.0,350.0,451.6666666666667,563.75,300.0,495.0,495.0,495.0,0r,low
6,Albion (Vic.),293.33734939759034,305.72352941176473,310.21787709497204,310.82068965517243,300.07729468599035,313.5181818181818,345.55555555555554,403.47058823529414,316.8924485125858,316.8924485125858,316.8924485125858,0r,high
7,Alexandra (Vic.),230.89743589743588,233.1818181818182,264.375,259.3478260869565,332.6666666666667,332.0,382.1875,455.55555555555554,348.6170212765957,348.6170212765957,348.6170212765957,0r,low
8,Alfredton,259.0,,,,533.6666666666666,,,,595.5,595.5,595.5,0r,low
9,Alphington,442.81081081081084,419.40909090909093,471.3857142857143,452.0198675496689,447.7722772277228,468.10869565217394,523.8465608465608,566.047619047619,466.50892857142856,466.50892857142856,466.50892857142856,0r,high
10,Altona Meadows,342.4459833795014,344.9463087248322,350.8432055749129,360.44029850746267,359.733918128655,376.69117647058823,409.55197132616485,439.647577092511,380.7037552155772,380.7037552155772,380.7037552155772,0r,high
11,Altona North,403.62126245847173,424.67713004484307,425.7991631799163,428.32850241545896,424.3452380952381,451.3139931740614,530.3381642512078,584.096256684492,459.040404040404,459.040404040404,459.040404040404,0r,high
12,Anglesea,354.13793103448273,363.6363636363636,391.53846153846155,397.6923076923077,522.2222222222222,573.9285714285714,541.8181818181819,640.2941176470588,542.9268292682926,542.9268292682926,542.9268292682926,0r,low
13,Ararat,259.1388888888889,254.11764705882354,279.0948275862069,287.49,297.4757281553398,344.86486486486484,337.9357798165138,355.8139534883721,326.7870036101083,326.7870036101083,326.7870036101083,0r,high
14,Ardeer,332.375,340.22222222222223,350.51020408163265,369.2307692307692,365.48387096774195,377.61224489795916,446.42857142857144,474.3939393939394,382.82941176470587,382.82941176470587,382.82941176470587,0r,high
15,Armadale (Vic.),467.9506726457399,475.4404761904762,492.1079734219269,486.4012345679012,446.5507075471698,469.27545691906005,548.6822429906542,577.8624535315985,482.4668969487622,482.4668969487622,482.4668969487622,0r,high
16,Ascot (Greater Bendigo - Vic.),331.6666666666667,348.0,356.6666666666667,344.54545454545456,389.25,447.0,436.0,517.5,427.45454545454544,427.45454545454544,427.45454545454544,0r,low
17,Ascot Vale,420.34375,431.8086303939962,433.56559139784946,432.35496183206106,404.3067993366501,442.07086614173227,526.7902240325866,557.8828125,453.2758379888268,453.2758379888268,453.2758379888268,0r,high
18,Ashburton,550.8974358974359,550.1298701298701,551.1224489795918,552.5540540540541,537.716049382716,533.5119047619048,622.9104477611941,662.5490196078431,562.554347826087,562.554347826087,562.554347826087,0r,high
19,Aspendale,488.56060606060606,445.752688172043,459.40816326530614,457.40776699029124,472.1621621621622,509.8404255319149,618.0263157894736,655.0,508.7096774193548,508.7096774193548,508.7096774193548,0r,high
20,Aspendale Gardens,441.7857142857143,440.04545454545456,514.9583333333334,452.22222222222223,496.6666666666667,508.3333333333333,595.0,615.0,531.6666666666666,531.6666666666666,531.6666666666666,0r,low
21,Attwood,422.2,405.0,430.0,450.0,465.0,411.1111111111111,471.42857142857144,685.0,446.6666666666667,446.6666666666667,446.6666666666667,0r,low
22,Avalon,330.0,450.0,,,,,,,,,,0r,
23,Avenel,260.0,,450.0,287.5,435.0,435.0,486.6666666666667,400.0,477.27272727272725,477.27272727272725,477.27272727272725,0r,low
